"id","followers","genres","name","popularity"
"7cQ4HzeZuxdOBpv1kwSIhu",764.00,"['polish pop']","Alicja Janosz",10
"7cTPJygRpiS97VLycl2e6k",4997.00,"['polish hip hop']","HEAVYWEIGHT",44
"7ceONQJggEp0kzrSRDpZNu",483.00,"['eastern bloc groove', 'polish jazz']","Big Band Katowice",8
"7choVylUIeNr4nUVApiUEC",106.00,"['polish ambient']","Sujka",4
"7cryy8BMCxqOBXVftfLJdS",1158.00,"['polish trap']","Kozakpolv",34
"7cuVYBxFcskBgbLWv85d75",14.00,"['polish ambient']","Loki8",1
"7cubaGlrQ5bw33Kqgfv7t9",7066.00,"['polish hip hop']","Rafi",23
"7dlsGRWzQNOxiTplMW87mj",3941.00,"['polish black metal', 'technical black metal', 'voidgaze']","Outre",9
"7dq5yJE6VA2msiLqzZw50F",125.00,"['polish post-punk']","Cieplarnia",1
"7dtYRflRL5xd7mBGraV5tV",602.00,"['polish indie']","Twilite",4
"7du3v3XNXJvawY7MSolMLS",408.00,"['polish indie']","Silver Rocket",11
"7e6iH8brpvXHIcxlK8WHZK",13901.00,"['polish hip hop', 'polish trap']","Floral Bugs",52
"7eGioJTlUeUE10LVw83dB4",239.00,"['polish experimental electronic']","Kapital",1
"7eK50J5bLdSqQmcrmIFlmy",262.00,"['polish alternative rock']","Nerwowe Wakacje",6
"7eLvWXLhWJ1pXl70ExER7U",72.00,"['polish modern jazz']","Mateusz Palka Trio",0
"7eSejfUR2a7h5u9IKfYwRk",4267.00,"['jazz violin', 'polish jazz']","Urszula Dudziak",21
"7eWuiwj3uRWzWN8hLPt42c",24.00,"['polish indie rock']","Perspecto",0
"7eiJFC0SOLCkH4QnLoJnPR",26706.00,"['polish pop']","AniKa Dąbrowska",31
"7fsezQ7Apoktm7BIFeSDzu",19.00,"['polish experimental electronic']","Oondood",0
"7fuADp7Ne2AMUEMrFSjuzz",1422.00,"['polish alternative rock', 'polish indie rock']","Neony",13
"7g43G7gf6kyL7UoeVgpr6r",93.00,"['polish noise rock', 'polish post-rock']","Hokei",0
"7g4eghw09dJfMd61wo6xft",160.00,"['polish ambient']","Przemysław Rudź",0
"7gBhkYfRJX0HA6cEdu6xkx",1718.00,"['polish black metal']","Doombringer",3
"7gDDrPF7TKWlMCMnb2Vqqn",10008.00,"['polish alternative rap']","BonSoul",35
"7gRgbNoRRPlng8UNFUmtgL",232.00,"['polish prog']","Anvision",1
"7gW8hBpBBO0Gf7nriC5HZK",856.00,"['polish rock']","Shakin' Dudi",29
