"id","name","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"00147h65HDYSncB3byziPP","My Shining Hour",12,241440,0,"['Ella Fitzgerald']","['5V0MlUE1Bft0mbLlND7FJz']","1961-01-01",0.23800,0.253,10,-13.8980,1,0.03150,0.877,0.0,0.074800,0.164,90.8550,4
"007xcTp5jioj62WV8HrR1o","Baby Doll (11-26-51)",1,199773,0,"['Ella Fitzgerald']","['5V0MlUE1Bft0mbLlND7FJz']","1951",0.27100,0.199,7,-11.1710,1,0.03230,0.984,0.0,0.141000,0.213,170.8870,3
"00AS1Cy5BASzGnl8MrVUcv","Ride the Wind",20,396600,0,"['The Youngbloods']","['5I6MzhNEMk27cZsCqGAIYo']","1969-03-11",0.55800,0.307,2,-20.4920,1,0.03430,0.91,0.651,0.086600,0.674,119.0330,4
"00AUl5n7ASRaqGGk8cY7ec","Kasme Vaade Nibhayenge Hum - Part II - Kasme Vaade / Soundtrack Version",21,124280,0,"['Kishore Kumar', 'Lata Mangeshkar']","['0GF4shudTAFv8ak9eWdd4Y', '61JrslREXq98hurYL2hYoc']","1981-01-01",0.55000,0.552,11,-10.1720,1,0.02910,0.438,1.37e-05,0.126000,0.843,134.5470,4
"00Bk1lDmnlpeM7rp9nmFCn","Jayen To Jayen Kahan - Female Vocals",4,187200,0,"['Lata Mangeshkar']","['61JrslREXq98hurYL2hYoc']","1954-12-31",0.38700,0.301,0,-12.9820,1,0.04960,0.977,0.0424,0.395000,0.585,80.4650,4
"00DK20f7WgF2t1eTwlveGu","O Sajna Barkha Bahar (From ''Parakh'')",0,184764,0,"['Lata Mangeshkar']","['61JrslREXq98hurYL2hYoc']","1953-01-01",0.48800,0.394,0,-8.4850,1,0.04930,0.944,0.000236,0.360000,0.739,132.3800,4
"00GYv0FzYgssmzaMoZHsxd","Yaad Aanewale Phir Yaad",0,182427,0,"['Lata Mangeshkar', 'Talat Mahmood']","['61JrslREXq98hurYL2hYoc', '2fi9hpqNbi5neTbKSqG0vW']","1950-01-01",0.50800,0.105,9,-25.0830,1,0.07680,0.979,0.889,0.103000,0.64,130.2140,4
"00Hkq26u850QhOO5baOWHA","Par Dni",15,212293,0,"['Desmod', 'Zuzana Smatanova']","['5yLMeTi9Jxg5LLssjYz5s1', '4kJi5wbe2vAZ1pXMeAvkDX']","2005-07-25",0.78700,0.566,2,-6.2720,0,0.03070,0.0145,0.000114,0.113000,0.438,118.0250,4
"00IYjifEpVxgKz5r66lYOt","I'm the Ocean",43,425960,0,"['Neil Young']","['6v8FB84lnmJs434UJf2Mrm']","1995-08-07",0.39600,0.8,7,-10.1020,1,0.03190,0.0213,0.279,0.122000,0.533,147.0530,4
"00K3yuFVb33hBNoEyWcdnj","Złoty Paw - 2003 Remaster",34,361227,0,"['Dzem']","['5ADo6yIOeD8LJglejYcuen']","2012-04-03",0.71800,0.816,5,-6.1630,1,0.05440,0.0442,0.00141,0.044200,0.836,125.6420,4
