CustomerID,Campaign,CampaignTiming,channel,open,click,SalesChannel,ConversionChannel,Reach,Target,Departure,offer
"0003-MKNFE",8,2,"Email",1,1,,,"Fiber optic","Migration Box","DSL with phone","Discount"
"0003-MKNFE",7,1,"SMS",0,0,,,"Fiber optic","Migration Box","DSL with phone","Discount"
"0019-GFNTW",6,2,"Call Center",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0019-GFNTW",5,1,"Email",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0019-GFNTW",4,3,"SMS",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0023-HGHWL",6,1,"Call Center",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0023-HGHWL",5,2,"Email",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0023-HGHWL",4,3,"SMS",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0031-PVLZI",3,2,"Call Center",1,0,,,"DSL","Cross Sell Box","No internet service","Buy One Get One"
"0031-PVLZI",2,3,"Email",1,1,,,"DSL","Cross Sell Box","No internet service","Buy One Get One"
"0031-PVLZI",1,1,"SMS",1,0,,,"DSL","Cross Sell Box","No internet service","Buy One Get One"
"0032-PGELS",6,3,"Call Center",1,1,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0032-PGELS",5,2,"Email",1,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0032-PGELS",4,1,"SMS",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0036-IHMOT",12,1,"Call Center",0,0,,,"Phone Premium","Migration Phone","Fiber optic with lowcost mobile","No Offer"
"0036-IHMOT",11,3,"Email",1,0,,,"Phone Premium","Migration Phone","Fiber optic with lowcost mobile","No Offer"
"0036-IHMOT",10,2,"SMS",0,0,,,"Phone Premium","Migration Phone","Fiber optic with lowcost mobile","No Offer"
"0048-LUMLS",12,1,"Call Center",0,0,,,"Phone Premium","Migration Phone","Fiber optic with lowcost mobile","No Offer"
"0048-LUMLS",11,2,"Email",0,0,,,"Phone Premium","Migration Phone","Fiber optic with lowcost mobile","No Offer"
"0048-LUMLS",10,3,"SMS",0,0,,,"Phone Premium","Migration Phone","Fiber optic with lowcost mobile","No Offer"
"0052-YNYOT",3,3,"Call Center",1,0,,,"DSL","Cross Sell Box","No internet service","Buy One Get One"
"0052-YNYOT",2,1,"Email",0,0,,,"DSL","Cross Sell Box","No internet service","Buy One Get One"
"0052-YNYOT",1,2,"SMS",0,0,,,"DSL","Cross Sell Box","No internet service","Buy One Get One"
"0074-HDKDG",8,1,"Email",0,0,,,"Fiber optic","Migration Box","DSL with phone","Discount"
"0074-HDKDG",7,2,"SMS",0,0,,,"Fiber optic","Migration Box","DSL with phone","Discount"
"0076-LVEPS",6,1,"Call Center",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0076-LVEPS",5,2,"Email",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0076-LVEPS",4,3,"SMS",0,0,,,"Phone","Cross Sell Phone","DSL and No phone service","Discount"
"0080-EMYVY",8,1,"Email",0,0,"Agent",,"Fiber optic","Migration Box","DSL with phone","Discount"
"0080-EMYVY",7,2,"SMS",1,1,"Agent","SMS","Fiber optic","Migration Box","DSL with phone","Discount"
"0093-XWZFY",14,2,"Email",1,0,,,"Option","Upsell","Fiber optic with premium mobile","No Offer"
"0093-XWZFY",13,1,"SMS",0,0,,,"Option","Upsell","Fiber optic with premium mobile","No Offer"
"0096-FCPUF",8,2,"Email",0,0,,,"Fiber optic","Migration Box","DSL with phone","Discount"
"0096-FCPUF",7,1,"SMS",0,0,,,"Fiber optic","Migration Box","DSL with phone","Discount"
"0106-GHRQR",8,2,"Email",1,0,,,"Fiber optic","Migration Box","DSL with phone","Discount"
