year,number,date,month,state
"1998",0,1998-01-01,"January","Acre"
"1999",0,1999-01-01,"January","Acre"
"2000",0,2000-01-01,"January","Acre"
"2001",0,2001-01-01,"January","Acre"
"2002",0,2002-01-01,"January","Acre"
"2003",10,2003-01-01,"January","Acre"
"2004",0,2004-01-01,"January","Acre"
"2005",12,2005-01-01,"January","Acre"
"2006",4,2006-01-01,"January","Acre"
"2007",0,2007-01-01,"January","Acre"
"2008",0,2008-01-01,"January","Acre"
"2009",0,2009-01-01,"January","Acre"
"2010",1,2010-01-01,"January","Acre"
"2011",0,2011-01-01,"January","Acre"
"2012",0,2012-01-01,"January","Acre"
"2013",0,2013-01-01,"January","Acre"
"2014",0,2014-01-01,"January","Acre"
"2015",1,2015-01-01,"January","Acre"
"2016",12,2016-01-01,"January","Acre"
"2017",0,2017-01-01,"January","Acre"
"1998",0,1998-01-01,"February","Acre"
"1999",0,1999-01-01,"February","Acre"
"2000",0,2000-01-01,"February","Acre"
"2001",0,2001-01-01,"February","Acre"
"2002",1,2002-01-01,"February","Acre"
"2003",0,2003-01-01,"February","Acre"
"2004",3,2004-01-01,"February","Acre"
"2005",0,2005-01-01,"February","Acre"
"2006",0,2006-01-01,"February","Acre"
"2007",5,2007-01-01,"February","Acre"
"2008",0,2008-01-01,"February","Acre"
"2009",2,2009-01-01,"February","Acre"
"2010",0,2010-01-01,"February","Acre"
"2011",0,2011-01-01,"February","Acre"
"2012",0,2012-01-01,"February","Acre"
"2013",0,2013-01-01,"February","Acre"
"2014",0,2014-01-01,"February","Acre"
"2015",2,2015-01-01,"February","Acre"
"2016",5,2016-01-01,"February","Acre"
"2017",1,2017-01-01,"February","Acre"
"1998",0,1998-01-01,"March","Acre"
"1999",0,1999-01-01,"March","Acre"
"2000",11,2000-01-01,"March","Acre"
"2001",0,2001-01-01,"March","Acre"
"2002",0,2002-01-01,"March","Acre"
"2003",0,2003-01-01,"March","Acre"
"2004",0,2004-01-01,"March","Acre"
"2005",3,2005-01-01,"March","Acre"
"2006",0,2006-01-01,"March","Acre"
"2007",2,2007-01-01,"March","Acre"
"2008",0,2008-01-01,"March","Acre"
"2009",1,2009-01-01,"March","Acre"
"2010",0,2010-01-01,"March","Acre"
"2011",0,2011-01-01,"March","Acre"
"2012",1,2012-01-01,"March","Acre"
"2013",2,2013-01-01,"March","Acre"
"2014",1,2014-01-01,"March","Acre"
"2015",2,2015-01-01,"March","Acre"
"2016",0,2016-01-01,"March","Acre"
"2017",0,2017-01-01,"March","Acre"
"1998",0,1998-01-01,"April","Acre"
"1999",0,1999-01-01,"April","Acre"
"2000",1,2000-01-01,"April","Acre"
"2001",0,2001-01-01,"April","Acre"
"2002",0,2002-01-01,"April","Acre"
"2003",1,2003-01-01,"April","Acre"
