date,state,number
1998-01-01,"ACRE",0
1998-02-01,"ACRE",0
1998-03-01,"ACRE",0
1998-04-01,"ACRE",0
1998-05-01,"ACRE",0
1998-06-01,"ACRE",3
1998-07-01,"ACRE",37
1998-08-01,"ACRE",130
1998-09-01,"ACRE",509
1998-10-01,"ACRE",44
1998-11-01,"ACRE",0
1998-12-01,"ACRE",7
1998-01-01,"ALAGOAS",0
1998-02-01,"ALAGOAS",0
1998-03-01,"ALAGOAS",0
1998-04-01,"ALAGOAS",0
1998-05-01,"ALAGOAS",0
1998-06-01,"ALAGOAS",0
1998-07-01,"ALAGOAS",0
1998-08-01,"ALAGOAS",1
1998-09-01,"ALAGOAS",14
1998-10-01,"ALAGOAS",20
1998-11-01,"ALAGOAS",19
1998-12-01,"ALAGOAS",32
1998-01-01,"AMAPÁ",0
1998-02-01,"AMAPÁ",0
1998-03-01,"AMAPÁ",0
1998-04-01,"AMAPÁ",0
1998-05-01,"AMAPÁ",0
1998-06-01,"AMAPÁ",0
1998-07-01,"AMAPÁ",0
1998-08-01,"AMAPÁ",1
1998-09-01,"AMAPÁ",20
1998-10-01,"AMAPÁ",42
1998-11-01,"AMAPÁ",131
1998-12-01,"AMAPÁ",84
1998-01-01,"AMAZONAS",0
1998-02-01,"AMAZONAS",0
1998-03-01,"AMAZONAS",0
1998-04-01,"AMAZONAS",0
1998-05-01,"AMAZONAS",0
1998-06-01,"AMAZONAS",2
1998-07-01,"AMAZONAS",71
1998-08-01,"AMAZONAS",321
1998-09-01,"AMAZONAS",267
1998-10-01,"AMAZONAS",83
1998-11-01,"AMAZONAS",6
1998-12-01,"AMAZONAS",196
1998-01-01,"BAHIA",0
1998-02-01,"BAHIA",0
1998-03-01,"BAHIA",0
1998-04-01,"BAHIA",0
1998-05-01,"BAHIA",0
1998-06-01,"BAHIA",55
1998-07-01,"BAHIA",219
1998-08-01,"BAHIA",815
1998-09-01,"BAHIA",2718
1998-10-01,"BAHIA",1969
1998-11-01,"BAHIA",49
1998-12-01,"BAHIA",82
1998-01-01,"CEARÁ",0
1998-02-01,"CEARÁ",0
1998-03-01,"CEARÁ",0
1998-04-01,"CEARÁ",0
1998-05-01,"CEARÁ",0
1998-06-01,"CEARÁ",1
1998-07-01,"CEARÁ",76
1998-08-01,"CEARÁ",93
1998-09-01,"CEARÁ",590
1998-10-01,"CEARÁ",1014
1998-11-01,"CEARÁ",575
1998-12-01,"CEARÁ",276
1998-01-01,"DISTRITO FEDERAL",0
1998-02-01,"DISTRITO FEDERAL",0
1998-03-01,"DISTRITO FEDERAL",0
1998-04-01,"DISTRITO FEDERAL",0
1998-05-01,"DISTRITO FEDERAL",0
1998-06-01,"DISTRITO FEDERAL",2
1998-07-01,"DISTRITO FEDERAL",17
1998-08-01,"DISTRITO FEDERAL",48
1998-09-01,"DISTRITO FEDERAL",33
1998-10-01,"DISTRITO FEDERAL",3
1998-11-01,"DISTRITO FEDERAL",0
1998-12-01,"DISTRITO FEDERAL",0
1998-01-01,"ESPÍRITO SANTO",0
1998-02-01,"ESPÍRITO SANTO",0
1998-03-01,"ESPÍRITO SANTO",0
1998-04-01,"ESPÍRITO SANTO",0
1998-05-01,"ESPÍRITO SANTO",0
1998-06-01,"ESPÍRITO SANTO",6
1998-07-01,"ESPÍRITO SANTO",37
1998-08-01,"ESPÍRITO SANTO",38
1998-09-01,"ESPÍRITO SANTO",108
1998-10-01,"ESPÍRITO SANTO",20
1998-11-01,"ESPÍRITO SANTO",4
1998-12-01,"ESPÍRITO SANTO",5
1998-01-01,"GOIÁS",0
1998-02-01,"GOIÁS",0
1998-03-01,"GOIÁS",0
1998-04-01,"GOIÁS",0
1998-05-01,"GOIÁS",0
1998-06-01,"GOIÁS",172
1998-07-01,"GOIÁS",512
1998-08-01,"GOIÁS",2218
1998-09-01,"GOIÁS",2867
1998-10-01,"GOIÁS",1034
1998-11-01,"GOIÁS",47
1998-12-01,"GOIÁS",13
1998-01-01,"MARANHÃO",0
1998-02-01,"MARANHÃO",0
1998-03-01,"MARANHÃO",0
1998-04-01,"MARANHÃO",0
1998-05-01,"MARANHÃO",0
1998-06-01,"MARANHÃO",78
1998-07-01,"MARANHÃO",274
1998-08-01,"MARANHÃO",1176
1998-09-01,"MARANHÃO",3935
1998-10-01,"MARANHÃO",5137
1998-11-01,"MARANHÃO",2237
1998-12-01,"MARANHÃO",1399
1998-01-01,"MATO GROSSO",0
1998-02-01,"MATO GROSSO",0
1998-03-01,"MATO GROSSO",0
1998-04-01,"MATO GROSSO",0
1998-05-01,"MATO GROSSO",0
1998-06-01,"MATO GROSSO",82
1998-07-01,"MATO GROSSO",360
1998-08-01,"MATO GROSSO",228
1998-09-01,"MATO GROSSO",457
1998-10-01,"MATO GROSSO",576
1998-11-01,"MATO GROSSO",306
1998-12-01,"MATO GROSSO",100
1998-01-01,"MATO GROSSO DO SUL",0
1998-02-01,"MATO GROSSO DO SUL",0
1998-03-01,"MATO GROSSO DO SUL",0
1998-04-01,"MATO GROSSO DO SUL",0
1998-05-01,"MATO GROSSO DO SUL",0
1998-06-01,"MATO GROSSO DO SUL",2201
1998-07-01,"MATO GROSSO DO SUL",3712
1998-08-01,"MATO GROSSO DO SUL",15406
1998-09-01,"MATO GROSSO DO SUL",10363
1998-10-01,"MATO GROSSO DO SUL",2707
1998-11-01,"MATO GROSSO DO SUL",182
1998-12-01,"MATO GROSSO DO SUL",76
1998-01-01,"MINAS GERAIS",0
1998-02-01,"MINAS GERAIS",0
1998-03-01,"MINAS GERAIS",0
1998-04-01,"MINAS GERAIS",0
1998-05-01,"MINAS GERAIS",0
1998-06-01,"MINAS GERAIS",70
1998-07-01,"MINAS GERAIS",232
1998-08-01,"MINAS GERAIS",875
1998-09-01,"MINAS GERAIS",1981
1998-10-01,"MINAS GERAIS",1093
1998-11-01,"MINAS GERAIS",32
1998-12-01,"MINAS GERAIS",21
1998-01-01,"PARANÁ",0
1998-02-01,"PARANÁ",0
1998-03-01,"PARANÁ",0
1998-04-01,"PARANÁ",0
1998-05-01,"PARANÁ",0
1998-06-01,"PARANÁ",36
1998-07-01,"PARANÁ",59
1998-08-01,"PARANÁ",42
1998-09-01,"PARANÁ",61
1998-10-01,"PARANÁ",61
1998-11-01,"PARANÁ",143
1998-12-01,"PARANÁ",82
1998-01-01,"PARAÍBA",0
1998-02-01,"PARAÍBA",0
1998-03-01,"PARAÍBA",0
1998-04-01,"PARAÍBA",0
1998-05-01,"PARAÍBA",0
1998-06-01,"PARAÍBA",3
1998-07-01,"PARAÍBA",0
1998-08-01,"PARAÍBA",3
1998-09-01,"PARAÍBA",50
1998-10-01,"PARAÍBA",179
1998-11-01,"PARAÍBA",46
1998-12-01,"PARAÍBA",51
1998-01-01,"PARÁ",0
1998-02-01,"PARÁ",0
1998-03-01,"PARÁ",0
1998-04-01,"PARÁ",0
1998-05-01,"PARÁ",0
1998-06-01,"PARÁ",58
1998-07-01,"PARÁ",638
1998-08-01,"PARÁ",6815
1998-09-01,"PARÁ",6237
1998-10-01,"PARÁ",3665
1998-11-01,"PARÁ",1861
1998-12-01,"PARÁ",1008
1998-01-01,"PERNAMBUCO",0
1998-02-01,"PERNAMBUCO",0
1998-03-01,"PERNAMBUCO",0
1998-04-01,"PERNAMBUCO",0
1998-05-01,"PERNAMBUCO",0
1998-06-01,"PERNAMBUCO",1
1998-07-01,"PERNAMBUCO",5
1998-08-01,"PERNAMBUCO",12
1998-09-01,"PERNAMBUCO",177
1998-10-01,"PERNAMBUCO",372
1998-11-01,"PERNAMBUCO",141
1998-12-01,"PERNAMBUCO",59
1998-01-01,"PIAUÍ",0
1998-02-01,"PIAUÍ",0
1998-03-01,"PIAUÍ",0
1998-04-01,"PIAUÍ",0
1998-05-01,"PIAUÍ",0
1998-06-01,"PIAUÍ",46
1998-07-01,"PIAUÍ",189
1998-08-01,"PIAUÍ",711
1998-09-01,"PIAUÍ",1991
1998-10-01,"PIAUÍ",2586
1998-11-01,"PIAUÍ",424
1998-12-01,"PIAUÍ",119
1998-01-01,"RIO DE JANEIRO",0
1998-02-01,"RIO DE JANEIRO",0
1998-03-01,"RIO DE JANEIRO",0
1998-04-01,"RIO DE JANEIRO",0
1998-05-01,"RIO DE JANEIRO",0
1998-06-01,"RIO DE JANEIRO",3
1998-07-01,"RIO DE JANEIRO",21
1998-08-01,"RIO DE JANEIRO",21
1998-09-01,"RIO DE JANEIRO",44
1998-10-01,"RIO DE JANEIRO",6
1998-11-01,"RIO DE JANEIRO",6
1998-12-01,"RIO DE JANEIRO",1
1998-01-01,"RIO GRANDE DO NORTE",0
1998-02-01,"RIO GRANDE DO NORTE",0
1998-03-01,"RIO GRANDE DO NORTE",0
1998-04-01,"RIO GRANDE DO NORTE",0
1998-05-01,"RIO GRANDE DO NORTE",0
1998-06-01,"RIO GRANDE DO NORTE",1
1998-07-01,"RIO GRANDE DO NORTE",5
1998-08-01,"RIO GRANDE DO NORTE",4
1998-09-01,"RIO GRANDE DO NORTE",51
1998-10-01,"RIO GRANDE DO NORTE",55
1998-11-01,"RIO GRANDE DO NORTE",41
1998-12-01,"RIO GRANDE DO NORTE",19
1998-01-01,"RIO GRANDE DO SUL",0
1998-02-01,"RIO GRANDE DO SUL",0
1998-03-01,"RIO GRANDE DO SUL",0
1998-04-01,"RIO GRANDE DO SUL",0
1998-05-01,"RIO GRANDE DO SUL",0
1998-06-01,"RIO GRANDE DO SUL",0
1998-07-01,"RIO GRANDE DO SUL",0
1998-08-01,"RIO GRANDE DO SUL",9
1998-09-01,"RIO GRANDE DO SUL",60
1998-10-01,"RIO GRANDE DO SUL",169
1998-11-01,"RIO GRANDE DO SUL",28
1998-12-01,"RIO GRANDE DO SUL",605
1998-01-01,"RONDÔNIA",0
1998-02-01,"RONDÔNIA",0
1998-03-01,"RONDÔNIA",0
1998-04-01,"RONDÔNIA",0
1998-05-01,"RONDÔNIA",0
1998-06-01,"RONDÔNIA",26
1998-07-01,"RONDÔNIA",365
1998-08-01,"RONDÔNIA",2254
1998-09-01,"RONDÔNIA",3753
1998-10-01,"RONDÔNIA",483
1998-11-01,"RONDÔNIA",3
1998-12-01,"RONDÔNIA",33
1998-01-01,"RORAIMA",0
1998-02-01,"RORAIMA",0
1998-03-01,"RORAIMA",0
1998-04-01,"RORAIMA",0
1998-05-01,"RORAIMA",0
1998-06-01,"RORAIMA",0
1998-07-01,"RORAIMA",1
1998-08-01,"RORAIMA",0
1998-09-01,"RORAIMA",2
1998-10-01,"RORAIMA",1
1998-11-01,"RORAIMA",1
1998-12-01,"RORAIMA",16
1998-01-01,"SANTA CATARINA",0
1998-02-01,"SANTA CATARINA",0
1998-03-01,"SANTA CATARINA",0
1998-04-01,"SANTA CATARINA",0
1998-05-01,"SANTA CATARINA",0
1998-06-01,"SANTA CATARINA",2
1998-07-01,"SANTA CATARINA",0
1998-08-01,"SANTA CATARINA",0
1998-09-01,"SANTA CATARINA",6
1998-10-01,"SANTA CATARINA",4
1998-11-01,"SANTA CATARINA",21
1998-12-01,"SANTA CATARINA",26
1998-01-01,"SERGIPE",0
1998-02-01,"SERGIPE",0
1998-03-01,"SERGIPE",0
1998-04-01,"SERGIPE",0
1998-05-01,"SERGIPE",0
1998-06-01,"SERGIPE",0
1998-07-01,"SERGIPE",0
1998-08-01,"SERGIPE",0
1998-09-01,"SERGIPE",0
1998-10-01,"SERGIPE",0
1998-11-01,"SERGIPE",12
1998-12-01,"SERGIPE",8
1998-01-01,"SÃO PAULO",0
1998-02-01,"SÃO PAULO",0
1998-03-01,"SÃO PAULO",0
1998-04-01,"SÃO PAULO",0
1998-05-01,"SÃO PAULO",0
1998-06-01,"SÃO PAULO",451
1998-07-01,"SÃO PAULO",596
1998-08-01,"SÃO PAULO",581
1998-09-01,"SÃO PAULO",525
1998-10-01,"SÃO PAULO",434
1998-11-01,"SÃO PAULO",488
1998-12-01,"SÃO PAULO",121
1998-01-01,"TOCANTINS",0
1998-02-01,"TOCANTINS",0
1998-03-01,"TOCANTINS",0
1998-04-01,"TOCANTINS",0
1998-05-01,"TOCANTINS",0
1998-06-01,"TOCANTINS",252
1998-07-01,"TOCANTINS",640
1998-08-01,"TOCANTINS",3747
1998-09-01,"TOCANTINS",5149
1998-10-01,"TOCANTINS",1738
1998-11-01,"TOCANTINS",1
1998-12-01,"TOCANTINS",9
1999-01-01,"ACRE",0
1999-02-01,"ACRE",0
1999-03-01,"ACRE",0
1999-04-01,"ACRE",0
1999-05-01,"ACRE",0
1999-06-01,"ACRE",0
1999-07-01,"ACRE",1
1999-08-01,"ACRE",63
1999-09-01,"ACRE",209
1999-10-01,"ACRE",60
1999-11-01,"ACRE",0
1999-12-01,"ACRE",0
1999-01-01,"ALAGOAS",58
1999-02-01,"ALAGOAS",20
