year,continent,country,city,population,lat,lon
1575,"Asia","India","Agra",200.0,27.1833300,78.0166700
1576,"Asia","India","Agra",212.0,27.1833300,78.0166700
1577,"Asia","India","Agra",224.0,27.1833300,78.0166700
1578,"Asia","India","Agra",236.0,27.1833300,78.0166700
1579,"Asia","India","Agra",248.0,27.1833300,78.0166700
1580,"Asia","India","Agra",260.0,27.1833300,78.0166700
1581,"Asia","India","Agra",272.0,27.1833300,78.0166700
1582,"Asia","India","Agra",284.0,27.1833300,78.0166700
1583,"Asia","India","Agra",296.0,27.1833300,78.0166700
1584,"Asia","India","Agra",308.0,27.1833300,78.0166700
1585,"Asia","India","Agra",320.0,27.1833300,78.0166700
1586,"Asia","India","Agra",332.0,27.1833300,78.0166700
1587,"Asia","India","Agra",344.0,27.1833300,78.0166700
1588,"Asia","India","Agra",356.0,27.1833300,78.0166700
1589,"Asia","India","Agra",368.0,27.1833300,78.0166700
1590,"Asia","India","Agra",380.0,27.1833300,78.0166700
1591,"Asia","India","Agra",392.0,27.1833300,78.0166700
1592,"Asia","India","Agra",404.0,27.1833300,78.0166700
1593,"Asia","India","Agra",416.0,27.1833300,78.0166700
1594,"Asia","India","Agra",428.0,27.1833300,78.0166700
1595,"Asia","India","Agra",440.0,27.1833300,78.0166700
1596,"Asia","India","Agra",452.0,27.1833300,78.0166700
1597,"Asia","India","Agra",464.0,27.1833300,78.0166700
1598,"Asia","India","Agra",476.0,27.1833300,78.0166700
1599,"Asia","India","Agra",488.0,27.1833300,78.0166700
1600,"Asia","India","Agra",500.0,27.1833300,78.0166700
1601,"Asia","India","Agra",500.0,27.1833300,78.0166700
1602,"Asia","India","Agra",500.0,27.1833300,78.0166700
1603,"Asia","India","Agra",500.0,27.1833300,78.0166700
1604,"Asia","India","Agra",500.0,27.1833300,78.0166700
1605,"Asia","India","Agra",500.0,27.1833300,78.0166700
1606,"Asia","India","Agra",500.0,27.1833300,78.0166700
1607,"Asia","India","Agra",500.0,27.1833300,78.0166700
1608,"Asia","India","Agra",500.0,27.1833300,78.0166700
1609,"Asia","India","Agra",500.0,27.1833300,78.0166700
1610,"Asia","India","Agra",500.0,27.1833300,78.0166700
1611,"Asia","India","Agra",496.428571428571,27.1833300,78.0166700
