"pop_est","continent","country","geometry"
57713,"North America","Greenland","POLYGON ((-46.76379 82.62796, -43.40644 83.22516, -39.89753 83.18018, -38.62214 83.54905, -35.08787 83.64513, -27.10046 83.51966, -20.84539 82.72669, -22.69182 82.34165, -26.51753 82.29765, -31.9 82.2, -31.39646 82.02154, -27.85666 82.13178, -24.84448 81.78697, -22.90328 82.09317, -22.07175 81.73449, -23.16961 81.15271, -20.62363 81.52462, -15.76818 81.91245, -12.77018 81.71885, -12.20855 81.29154, -16.28533 80.58004, -16.85 80.35, -20.04624 80.17708, -17.73035 80.12912, -18.9 79.4, -19.70499 78.75128, -19.67353 77.63859, -18.47285 76.98565, -20.03503 76.94434, -21.67944 76.62795, -19.83407 76.09808, -19.59896 75.24838, -20.66818 75.15585, -19.37281 74.29561, -21.59422 74.22382, -20.43454 73.81713, -20.76234 73.46436, -22.17221 73.30955, -23.56593 73.30663, -22.31311 72.62928, -22.29954 72.18409, -24.27834 72.59788, -24.79296 72.3302, -23.44296 72.08016, -22.13281 71.46898, -21.75356 70.66369, -23.53603 70.471, -24.30702 70.85649, -25.54341 71.43094, -25.20135 70.75226, -26.36276 70.22646, -23.72742 70.18401, -22.34902 70.12946, -25.02927 69.2588, -27.74737 68.47046, -30.67371 68.12503, -31.77665 68.12078, -32.81105 67.73547, -34.20196 66.67974, -36.35284 65.9789, -37.04378 65.93768, -38.37505 65.69213, -39.81222 65.45848, -40.66899 64.83997, -40.68281 64.13902, -41.1887 63.48246, -42.81938 62.68233, -42.41666 61.90093, -42.86619 61.07404, -43.3784 60.09772, -44.7875 60.03676, -46.26364 60.85328, -48.26294 60.85843, -49.23308 61.40681, -49.90039 62.38336, -51.63325 63.62691, -52.14014 64.27842, -52.27659 65.1767, -53.66166 66.09957, -53.30161 66.8365, -53.96911 67.18899, -52.9804 68.35759, -51.47536 68.72958, -51.08041 69.14781, -50.87122 69.9291, -52.013585 69.574925, -52.55792 69.42616, -53.45629 69.283625, -54.68336 69.61003, -54.75001 70.28932, -54.35884 70.821315, -53.431315 70.835755, -51.39014 70.56978, -53.10937 71.20485, -54.00422 71.54719, -55 71.4065369673, -55.83468 71.65444, -54.71819 72.58625, -55.32634 72.95861, -56.12003 73.64977, -57.32363 74.71026, -58.59679 75.09861, -58.58516 75.51727, -61.26861 76.10238, -63.39165 76.1752, -66.06427 76.13486, -68.50438 76.06141, -69.66485 76.37975, -71.40257 77.00857, -68.77671 77.32312, -66.76397 77.37595, -71.04293 77.63595, -73.297 78.04419, -73.15938 78.43271, -69.37345 78.91388, -65.7107 79.39436, -65.3239 79.75814, -68.02298 80.11721, -67.15129 80.51582, -63.68925 81.21396, -62.23444 81.3211, -62.65116 81.77042, -60.28249 82.03363, -57.20744 82.19074, -54.13442 82.19962, -53.04328 81.88833, -50.39061 82.43883, -48.00386 82.06481, -46.59984 81.985945, -44.523 81.6607, -46.9007 82.19979, -46.76379 82.62796))"
279070,"Oceania","New Caledonia","POLYGON ((165.779989862 -21.0800049781, 166.59999149 -21.7000188128, 167.120011428 -22.1599907366, 166.740034621 -22.3999760881, 166.189732294 -22.1297083473, 165.474375442 -21.679606622, 164.829815302 -21.1498198381, 164.167995233 -20.444746596, 164.029605748 -20.1056458473, 164.459967076 -20.1200118954, 165.020036249 -20.4599911435, 165.460009394 -20.800022068, 165.779989862 -21.0800049781))"
339747,"Europe","Iceland","POLYGON ((-14.5086954411 66.455892239, -14.739637417 65.8087482774, -13.609732225 65.1266710476, -14.9098337468 64.3640819363, -17.7944380355 63.6787490912, -18.6562458969 63.4963829617, -19.9727546859 63.6436349555, -22.7629719711 63.9601789415, -21.7784842595 64.4021157905, -23.9550439112 64.8911298692, -22.1844026352 65.0849681668, -22.2274232651 65.378593655, -24.3261840479 65.6111892768, -23.6505146957 66.2625190294, -22.1349224513 66.410468655, -20.5762837387 65.7321121284, -19.0568416 66.2766008572, -17.7986238266 65.9938532579, -16.1678189763 66.5267923041, -14.5086954411 66.455892239))"
360346,"North America","Belize","POLYGON ((-89.1430804105 17.8083189966, -89.15090939 17.9554676376, -89.0298573474 18.0015113388, -88.8483438789 17.883198147, -88.4901228503 18.4868305526, -88.3000310941 18.4999822047, -88.2963362292 18.3532728134, -88.1068129138 18.3486736109, -88.1234785632 18.0766747095, -88.2853549873 17.6441429713, -88.1978667875 17.4894754094, -88.3026407539 17.1316936304, -88.2395179919 17.0360663925, -88.3554282295 16.5307742375, -88.5518245104 16.2654674341, -88.7324336413 16.2336347519, -88.9306127591 15.8872734644, -89.2291216703 15.8869375676, -89.1508060371 17.0155766871, -89.1430804105 17.8083189966))"
1772255,"Africa","Gabon","POLYGON ((11.2764490088 2.26105093018, 11.7516654802 2.32675751384, 12.359380324 2.19281220134, 12.9513338559 2.32161570883, 13.0758223812 2.26709707276, 13.003113641 1.83089630778, 13.2826314633 1.3141836613, 14.0266687354 1.39567739502, 14.2762659034 1.19692983643, 13.8433207536 0.0387576359011, 14.3164184913 -0.552627455247, 14.4254557634 -1.33340667074, 14.2992102393 -1.99827564861, 13.9924072608 -2.47080494549, 13.109618768 -2.4287403296, 12.5752844581 -1.94851124432, 12.4957027523 -2.39168832765, 11.8209635759 -2.51416147218, 11.4780387712 -2.76561899171, 11.8551216976 -3.42687061932, 11.0937728207 -3.97882659263, 10.0661352881 -2.96948251711, 9.40524539555 -2.14431324627, 8.79799563969 -1.11130136475, 8.83008670415 -0.77907358155, 9.04841963058 -0.45935149496, 9.29135053878 0.268666083168, 9.49288862472 1.01011953369, 9.83028405116 1.06789378499, 11.285078973 1.0576618514, 11.2764490088 2.26105093018))"
1895250,"Europe","Kosovo","POLYGON ((20.5902465467 41.8554089193, 20.52295 42.21787, 20.2837545102 42.3202595078, 20.0707 42.58863, 20.25758 42.81275, 20.49679 42.88469, 20.63508 43.21671, 20.81448 43.27205, 20.95651 43.13094, 21.143395 43.068685, 21.27421 42.90959, 21.43866 42.86255, 21.63302 42.67717, 21.77505 42.6827, 21.66292 42.43922, 21.54332 42.32025, 21.5766359894 42.2452243971, 21.3527 42.2068, 20.76216 42.05186, 20.71731 41.84711, 20.5902465467 41.8554089193))"
2103721,"Europe","Macedonia","POLYGON ((22.3805257504 42.3202595078, 22.8813737322 41.9992971869, 22.9523771502 41.3379938828, 22.76177 41.3048, 22.5973083839 41.1304871689, 22.0553776384 41.1498658311, 21.6741605974 40.9312745225, 21.0200403175 40.8427269557, 20.605181919 41.0862263047, 20.4631750831 41.5150890163, 20.5902474301 41.8554041611, 20.5902465467 41.8554089193, 20.71731 41.84711, 20.76216 42.05186, 21.3527 42.2068, 21.5766359894 42.2452243971, 21.91708 42.30364, 22.3805257504 42.3202595078))"
2214858,"Africa","Botswana","POLYGON ((29.4321883481 -22.0913127581, 28.0172359555 -22.8277535947, 27.1194096209 -23.574323012, 26.7864066912 -24.2406906064, 26.4857532081 -24.6163265927, 25.9416520525 -24.6963733863, 25.7658488299 -25.1748454729, 25.6646663754 -25.4868160947, 25.0251705258 -25.7196700986, 24.2112667172 -25.6702157529, 23.7335697771 -25.3901294899, 23.3120967954 -25.268689874, 22.8242712745 -25.5004586728, 22.5795316912 -25.9794475237, 22.1059688657 -26.2802560361, 21.6058960304 -26.7265337054, 20.8896090024 -26.8285429827, 20.6664701677 -26.4774533017, 20.7586092465 -25.8681364886, 20.1657255388 -24.917961928, 19.8957678565 -24.7677902158, 19.8954577979 -21.8491569963, 20.8811340675 -21.814327081, 20.9106413103 -18.2522189267, 21.6550403175 -18.21914601, 23.1968583513 -17.8690381812, 23.5790055681 -18.2812610816, 24.2173645362 -17.8893470191, 24.5207051938 -17.8871249325, 25.0844433937 -17.6618156877, 25.2642257016 -17.7365398088, 25.6491634458 -18.5360258928, 25.8503914731 -18.7144129371, 26.1647908872 -19.2930856259, 27.2965047544 -20.3915198707, 27.7247473488 -20.4990585263, 27.7272278175 -20.8518018531, 28.0213700701 -21.4859750302, 28.7946562029 -21.6394540341, 29.4321883481 -22.0913127581))"
2875422,"Asia","Kuwait","POLYGON ((47.9745190773 29.9758192001, 48.1831885109 29.5344766302, 48.0939433124 29.3062993434, 48.4160941913 28.5520042994, 47.7088505389 28.5260627304, 47.4598218117 29.0025194361, 46.5687134133 29.0990251735, 47.3026221047 30.0590699326, 47.9745190773 29.9758192001))"
3351827,"North America","Puerto Rico","POLYGON ((-66.282434455 18.5147616643, -65.7713028632 18.4266791855, -65.5910037909 18.2280349797, -65.8471638658 17.9759056666, -66.599934455 17.9818226181, -67.1841623603 17.946553453, -67.2424275377 18.3744601506, -67.1006790839 18.5206011011, -66.282434455 18.5147616643))"
