number,date,state
0,1998-01-01,"Acre"
0,1998-02-01,"Acre"
0,1998-03-01,"Acre"
0,1998-04-01,"Acre"
0,1998-05-01,"Acre"
3,1998-06-01,"Acre"
37,1998-07-01,"Acre"
130,1998-08-01,"Acre"
509,1998-09-01,"Acre"
44,1998-10-01,"Acre"
0,1998-11-01,"Acre"
7,1998-12-01,"Acre"
0,1999-01-01,"Acre"
0,1999-02-01,"Acre"
0,1999-03-01,"Acre"
0,1999-04-01,"Acre"
0,1999-05-01,"Acre"
0,1999-06-01,"Acre"
1,1999-07-01,"Acre"
63,1999-08-01,"Acre"
209,1999-09-01,"Acre"
60,1999-10-01,"Acre"
0,1999-11-01,"Acre"
0,1999-12-01,"Acre"
0,2000-01-01,"Acre"
0,2000-02-01,"Acre"
11,2000-03-01,"Acre"
1,2000-04-01,"Acre"
1,2000-05-01,"Acre"
1,2000-06-01,"Acre"
1,2000-07-01,"Acre"
136,2000-08-01,"Acre"
265,2000-09-01,"Acre"
18,2000-10-01,"Acre"
0,2000-11-01,"Acre"
0,2000-12-01,"Acre"
0,2001-01-01,"Acre"
0,2001-02-01,"Acre"
0,2001-03-01,"Acre"
0,2001-04-01,"Acre"
0,2001-05-01,"Acre"
1,2001-06-01,"Acre"
3,2001-07-01,"Acre"
396,2001-08-01,"Acre"
290,2001-09-01,"Acre"
137,2001-10-01,"Acre"
1,2001-11-01,"Acre"
0,2001-12-01,"Acre"
0,2002-01-01,"Acre"
1,2002-02-01,"Acre"
0,2002-03-01,"Acre"
0,2002-04-01,"Acre"
0,2002-05-01,"Acre"
0,2002-06-01,"Acre"
39,2002-07-01,"Acre"
728,2002-08-01,"Acre"
1949,2002-09-01,"Acre"
687,2002-10-01,"Acre"
86,2002-11-01,"Acre"
1,2002-12-01,"Acre"
10,2003-01-01,"Acre"
0,2003-02-01,"Acre"
0,2003-03-01,"Acre"
1,2003-04-01,"Acre"
6,2003-05-01,"Acre"
0,2003-06-01,"Acre"
168,2003-07-01,"Acre"
1976,2003-08-01,"Acre"
3942,2003-09-01,"Acre"
740,2003-10-01,"Acre"
15,2003-11-01,"Acre"
1,2003-12-01,"Acre"
0,2004-01-01,"Acre"
3,2004-02-01,"Acre"
0,2004-03-01,"Acre"
2,2004-04-01,"Acre"
7,2004-05-01,"Acre"
5,2004-06-01,"Acre"
42,2004-07-01,"Acre"
645,2004-08-01,"Acre"
1978,2004-09-01,"Acre"
461,2004-10-01,"Acre"
10,2004-11-01,"Acre"
7,2004-12-01,"Acre"
12,2005-01-01,"Acre"
0,2005-02-01,"Acre"
3,2005-03-01,"Acre"
1,2005-04-01,"Acre"
2,2005-05-01,"Acre"
27,2005-06-01,"Acre"
368,2005-07-01,"Acre"
4198,2005-08-01,"Acre"
4253,2005-09-01,"Acre"
547,2005-10-01,"Acre"
14,2005-11-01,"Acre"
2,2005-12-01,"Acre"
4,2006-01-01,"Acre"
0,2006-02-01,"Acre"
0,2006-03-01,"Acre"
0,2006-04-01,"Acre"
8,2006-05-01,"Acre"
1,2006-06-01,"Acre"
33,2006-07-01,"Acre"
839,2006-08-01,"Acre"
2370,2006-09-01,"Acre"
316,2006-10-01,"Acre"
18,2006-11-01,"Acre"
0,2006-12-01,"Acre"
0,2007-01-01,"Acre"
5,2007-02-01,"Acre"
